Социологическа агенция,"Дати на
проучване","Брой
допитани","Граници
на грешка","ГЕРБ
СДС",БСП,ДПС,ОП,ВМРО,ДБ,"Воля
НФСБ",Атака,Възр.,АБВ,ИТН,ИСМВ,РЗБ,Други / Никого,Превес,Активност
Социологическа агенция,"Дати на
проучване","Брой
допитани","Граници
на грешка",,,,,,,,,,,,,,Други / Никого,Превес,Активност
Парламент. избори 2017,26 март 2017,–,–,"32,65%","27,19%","8,99%","9,07%",–,"5,36%","4,15%",–,"1,08%","1,55%",–,–,–,"9,96%","5,46%","53,85%"
Избори за ЕП 2019,26 май 2019,–,–,"30,13%","23,53%","16,05%",–,"7,14%","5,88%","4,62%","1,04%","1,01%","0,83%",–,–,–,"9,77%","6,6%","32,85%"
Тренд,5 – 12 юни 2019,1008,"± 3,1%","23,8%","18,9%","7,1%","1,3%","3,6%","3,3%","1,2%","1,1%",–,–,–,–,–,"4,6%","4,9%","64,9%"
Маркет Линкс,11 – 19 юни 2019,429,–,"30,6%","28,9%",8%,6%,–,"5,3%","3,3%",–,–,–,–,–,–,"5,6%","1,7%","87,7%"
Алфа Рисърч,10 – 16 сеп 2019,1023,–,"21,5%","18,7%","8,6%","4,8%",–,"4,1%",2%,"1,9%",–,–,"8,3%",–,–,"2,7%","2,8%","72,6%"
Тренд,7 – 15 ное 2019,1008,"± 3,1%","23,8%","18,4%","6,9%",–,"3,4%","3,1%","1,2%","1,1%",–,–,"5,1%",–,–,"3,8%","5,4%","66,8%"
Маркет Линкс,21 – 28 ное 2019,980,–,18%,16%,8%,4%,–,5%,1%,–,–,–,8%,–,–,2%,2%,62%
Маркет Линкс,21 – 28 ное 2019,448,–,25%,25%,7%,5%,–,9%,2%,–,–,–,9%,–,–,4%,0%,85%
Алфа Рисърч,5 – 12 дек 2019,1017,–,"21,7%","18,2%","7,8%","5,3%",–,"5,1%","1,5%","1,4%",–,–,"8,6%",–,–,"3,1%","3,5%","72,7%"
Барометър,9 – 13 яну 2020,873,–,"35,5%","28,2%",11%,11%,–,"3,2%",–,–,–,–,"3,6%",–,–,"7,5%","7,3%",100%
