Polling firm,Fieldwork date,Sample,GERB—SDS,PP–DB,PP–DB,DPS,Revival,BSPzB,BV,VMRO,ITN,"IS.BG/
Levitsata!",NDSV,Others,"None of
the above",Lead
Polling firm,Fieldwork date,Sample,GERB—SDS,,,DPS,Revival,BSPzB,BV,VMRO,ITN,"IS.BG/
Levitsata!",NDSV,Others,"None of
the above",Lead
Polling firm,Fieldwork date,Sample,GERB—SDS,PP,DB,DPS,Revival,BSPzB,BV,VMRO,ITN,"IS.BG/
Levitsata!",NDSV,Others,"None of
the above",Lead
Polling firm,Fieldwork date,Sample,,,,,,,,,,,,Others,"None of
the above",Lead
2023 election,2 Apr 2023,—,26.5,24.5,24.5,13.7,14.2,8.9,3.1,–,4.1,2.2,0.3,,,2.0
Trend,22–29 Mar 2023,"1,004",26.4,26.1,26.1,13.7,13.3,7.3,3.5,–,3.0,3.6,–,3.1,–,0.3
Alpha Research,25–29 Mar 2023,"1,013",25.9,25.4,25.4,13.8,13.6,8.2,3.9,–,2.3,3.1,–,3.8,3.7,0.5
Market Links,21–27 Mar 2023,"1,014",25.8,27.5,27.5,15.8,13.2,8.5,2.4,–,2.7,3.7,–,0.4,–,1.7
Exacta,21–26 Mar 2023,"1,050",26.2,25.6,25.6,13.7,12.8,7.4,3.3,–,2.9,3.7,–,4.4,–,0.6
Gallup,18–26 Mar 2023,"1,004",26.5,26.9,26.9,13.3,13.0,7.2,3.5,–,3.0,3.3,–,3.3,4.1,0.4
Sova Harris,18–24 Mar 2023,"1,000",25.9,24.6,24.6,12.8,12.6,7.8,3.9,–,2.9,4.1,–,5.4,–,1.3
Mediana,17–22 Mar 2023,978,24.7,23.1,23.1,13.2,14.5,8.6,4.5,–,3.4,4.3,–,3.8,–,1.6
CAM,16–19 Mar 2023,"1,021",24.7,25.7,25.7,13.8,12.5,8.1,2.8,–,2.9,4.0,1.2,4.3,3.2,1.0
Nasoca,7–14 Mar 2023,"1,200",24.8,24.1,24.1,13.2,12.2,6.2,4.3,–,3.0,3.1,–,4.4,4.7,0.7
Trend,6–12 Mar 2023,"1,003",25.6,26.5,26.5,13.6,12.9,7.6,3.6,–,3.1,3.5,–,3.6,5.1,0.9
Gallup,24 Feb–3 Mar 2023,"1,008",26.6,27.2,27.2,13.4,12.3,7.3,3.7,–,3.4,3.2,–,2.9,–,0.6
Alpha Research,21–27 Feb 2023,"1,007",25.2,26.4,26.4,13.2,11.3,7.4,3.8,–,3.2,3.6,1.4,4.5,–,1.2
Sova Harris,20–27 Feb 2023,"1,000",27.4,25.7,25.7,11.7,10.6,9.7,3.7,–,3.1,3.9,0.9,2.0,–,1.7
Market Links,18–27 Feb 2023,"1,080",20.4,20.9,20.9,13.3,11.8,6.6,2.4,–,1.7,2.3,–,20.6,20.6,0.5
Mediana,19–24 Feb 2023,973,24.6,22.7,22.7,11.3,12.5,8.9,4.5,–,3.1,3.5,–,2.8,6.1,1.9
Gallup,2–12 Feb 2023,808,26.1,27.1,27.1,13.4,12.3,8.6,4.2,4.2,3.9,–,–,4.4,–,1.0
Trend,4–11 Feb 2023,"1,003",25.6,24.8,24.8,12.8,11.9,8.9,4.0,–,3.3,–,–,3.9,4.8,0.8
10 February 2023,10 February 2023,10 February 2023,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together,PP and DB announce that they will run together
Exacta,30 Jan–4 Feb 2023,"1,050",26.6,16.4,7.3,12.8,10.0,12.2,4.2,1.1,3.2,–,1.1,2.3,3.0,10.2
Market Links,10–20 Dec 2022,"1,022",22.6,16.2,8.3,12.2,10.0,9.6,2.6,–,2.2,–,–,16.3,16.3,6.4
Alpha Research,1–13 Dec 2022,"1,023",27.6,20.9,7.7,12.3,11.8,10.0,5.1,–,–,–,–,4.7,–,5.7
Exacta,5–12 Dec 2022,"1,050",25.2,19.0,7.4,11.5,8.9,10.2,5.2,–,2.7,–,–,4.5,5.4,6.2
Trend,1–8 Dec 2022,"1,005",25.8,19.2,7.3,11.6,11.3,9.0,4.0,–,3.1,–,–,3.3,5.4,6.6
Gallup,29 Oct–6 Nov 2022,809,25.5,20.8,8.0,13.1,10.5,9.4,4.5,0.9,3.1,1.3,–,2.9,–,4.7
2022 election,2 Oct 2022,—,24.48,19.52,7.19,13.29,9.83,8.98,4.47,0.78,3.71,0.97,–,5.40,3.38,4.96
