Polling firm,Fieldwork date,Sample,GERB–SDS,PP–DB,Revival,DPS,BSPzB,ITN,BV,Left,SBG,SB,Others,NOTA,Lead,Govt.,Opp.
Polling firm,Fieldwork date,Sample,,,,,,,,,,,Others,NOTA,Lead,Govt.,Opp.
Alpha Research,1–4 June 2024,1000,"25.1
71","15.4
44","15.2
43","14.8
42","8.1
23","6.2
17",—,—,"2.4
0","3.3
0",9.5,—,9.7,—,—
CAM,31 May-4 June 2024,821,"26.4
73","16.6
46","14.5
40","15
42","8.4
24","5.3
14","1.8
0","1.4
0","3.2
0","2.4
0",5,4.2,9.7,—,—
Exacta,30 May-4 June 2024,1050,"26.4
74","15.5
43","14.8
41","14.6
40","9
25","6.2
17",—,—,"2.1
0","3.2
0",8.2,—,9.7,—,—
Gallup,29 May-4 June 2024,1003,"25.9
72","15.7
44","15.5
43","15.3
42","8
22","6.1
17","1
0","1.1
0","3.1
0","2.8
0",5.5,—,10.2,—,—
Trend,29 May-4 June 2024,1007,"26.5
74","15.3
43","15.1
42","14.9
42","8.5
23","5.9
16","1.1
0","1.3
0","3.4
0","2.1
0",5.9,4.4,11.2,—,—
Sova Harris,29 May-3 June 2024,1000,"25.5
74","15.1
43","15.3
44","14.2
41","8.4
24","5.1
14","1.2
0","2.5
0","3.4
0","3.2
0",6.1,—,10.2,—,—
Mediana,25 May-1 June 2024,990,"28.6
81","12.9
37","14.9
42","13.5
38","8.6
25","6.3
17","1.6
0","3.2
0","3.0
0","3.4
0",4.0,—,13.7,—,—
Market Links,23 May-2 June 2024,1004,"27.5
79","17.1
49","12.4
36","13.7
39","8.4
24","4.5
13",—,—,"2
0","3
0",7.7,3.5,10.5,—,—
Mediana,12–18 May 2024,978,"27.5
77","13.7
38","15.7
44","14.2
39","9
25","6.2
17","1.2
0","2.9
0","2.7
0","3.1
0",3.8,—,11.8,—,—
Trend,11–18 May 2024,1003,"26.1
74","15.4
43","14.8
42","14.9
42","8.5
24","5.5
15","1.2
0","1.4
0","2.4
0","1.8
0",8,5.1,10.7,—,—
Sova Harris,8–13 May 2024,1000,"26.6
73","16.1
45","15.3
42","15
41","9.1
24","5.4
15",—,"1.4
0","3.8
0","2.1
0",4.3,—,10.5,—,—
Market Links,27 Apr-9 May 2024,—,"28.4
80","19.3
55","14
39","14.4
41","9.2
25","3.6
0",—,—,"2
0","1.5
0",4.1,3.6,9.1,—,—
Alpha Research,24 Apr-2 May 2024,1000,"25.4
71","17.5
49","14.6
41","14.9
41","8.5
24","5.2
14","1.3
0","1.9
0","2.6
0","2.5
0",5.6,—,7.9,—,—
Gallup,22 Apr-2 May 2024,808,"26.5
74","16.4
45","15.1
42","15.4
43","8.4
23","4.7
13",—,—,"2.5
0","1.5
0",9.5,—,10.1,—,—
Trend,12 Apr–19 Apr 2024,1002,"24.9
73","15.5
45","14.2
41","14.4
42","9.1
26","4.8
13","1.7
0","1.8
0",—,—,6.6,6.9,9.4,—,—
Exacta,11 Apr–18 Apr 2024,1020,"25.9
73","16.4
46","13.8
39","14.0
40","9.6
27","5.2
15",—,—,—,—,7.7,7.4,9.5,—,—
Market Links,30 Mar–7 Apr 2024,1046,25.5,17.1,10.3,11.8,8.7,3.9,—,—,—,—,22.7,22.7,8.4,—,—
Gallup International,28 Mar–5 Apr 2024,805,"27.4
73","17.9
47","14.9
39","15.2
40","10.5
28","5.2
13",—,—,—,—,8.9,—,9.5,—,—
Mar 2024,Mar 2024,Mar 2024,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June,The Denkov Government resigns. A snap election is scheduled for 9 June
Gallup International,29 Feb–8 Mar 2024,810,"26.4
69","19.6
52","14.8
39","14.7
39","10.6
28","5.1
13",—,—,—,—,8.8,—,6.8,46.0,54.0
