Source,Date,Sample size,Margin of error,GERB,BSP,DPS,OP,RB,Volya,Yes!,ABV,Others / None,Lead
Source,Date,Sample size,Margin of error,,,,,,,,,Others / None,Lead
2014 election,5 October 2014,,,32.7%,15.4%,14.8%,11.8%[1],8.9%,–,–,4.2%,12.2%,
Trend,17 January 2017,"1,002",± 3.1%,32.2%,29.3%,7.8%,10.4%,3.7%,5.9%,0.7%,1.0%,9.0%,2.9%
Alpha Research,22 January 2017,"1,024",± 3.0%,32.6%,28.8%,7.8%,10.7%,3.8%,4.4%,2.3%,1.4%,8.2%,3.8%
Estat,22 January 2017,"1,000",± 3.1%,36.1%,27.5%,6.0%,7.0%,2.4%,8.4%,0.9%,1.9%,9.8%,8.6%
Gallup,30 January 2017,816,± 3.5%,27.6%,28.7%,8.2%,11.9%,4.3%,7.7%,2.0%,1.9%,7.7%,1.1%
CAM,7 February 2017,"1,012",± 3.1%,29.2%,28.1%,9.6%,7.5%,3.7%,5.2%,1.5%,0.9%,14.3%,1.1%
Trend,9 February 2017,"1,002",± 3.1%,29.7%,28.7%,9.0%,9.9%,3.4%,6.5%,2.3%,2.0%,8.5%,1.0%
Sova Haris,20 February 2017,"1,003",± 3.0%,31.3%,31.6%,6.4%,10.3%,6.3%,7.2%,0.5%,3.0%,3.4%,0.3%
Alpha Research,23 February 2017,"1,024",± 3.0%,31.5%,29.6%,6.8%,10.8%,3.9%,5.7%,2.6%,2.9%,6.2%,1.9%
AFIS[permanent dead link],27 February 2017,"1,200",± 3.0%,28.2%,30.5%,6.7%,8.5%,4.5%,5.1%,1.3%,3.3%,12.0%,2.3%
Estat,28 February 2017,"1,000",± 3.1%,29.5%,30.2%,6.4%,8.6%,3.9%,11.8%,2.3%,1.5%,5.8%,0.7%
Gallup,5 March 2017,"1,003",± 3.1%,28.3%,30.2%,8.2%,11.9%,4.3%,7.4%,2.3%,2.6%,4.8%,1.9%
Institute of Modern Politics,6 March 2017,827,± 3.1%,29.1%,29.0%,7.3%,9.5%,3.5%,5.8%,1.7%,4.1%,10.0%,0.1%
Gallup,15 March 2017,"1,012",± 3.0%,29.9%,30.3%,8.1%,11.5%,4.4%,6.5%,2.3%,2.4%,3.6%,0.4%
Estat,15 March 2017,"1,000",± 3.1%,29.7%,27.2%,8.3%,8.6%,6.1%,10.5%,1.3%,2.6%,5.7%,2.5%
AFIS,16 March 2017,"1,010",± 3.0%,31.2%,31.5%,8.5%,9.9%,4.4%,5.3%,1.1%,4.1%,4.1%,0.3%
Trend,16 March 2017,"1,004",± 3.1%,29.8%,27.9%,8.7%,10.2%,3.8%,7.3%,2.1%,2.6%,7.6%,1.9%
CAM,16 March 2017,"1,012",± 3.1%,29.6%,29.0%,10.8%,10.0%,3.5%,6.2%,1.9%,1.5%,7.5%,0.6%
Mediana,20 March 2017,"1,010",± 3.0%,26.6%,27.7%,11.1%,10.2%,5.1%,9.6%,1.1%,4.0%,4.6%,1.1%
Institute of Modern Politics,20 March 2017,805,± 3.1%,28.5%,29.0%,9.1%,10.1%,4.0%,9.6%,2.0%,4.5%,3.2%,0.5%
Gallup,21 March 2017,"1,012",± 3.0%,27.1%,26.5%,9.7%,12.3%,3.8%,8.2%,2.4%,2.6%,7.4%,0.6%
Alpha Research,22 March 2017,"1,033",± 3.0%,31.7%,29.1%,8.4%,8.9%,4.0%,6.8%,2.5%,2.9%,5.7%,2.6%
Exacta,22 March 2017,"1,000",± 3.0%,31.2%,28.1%,7.6%,10.5%,4.0%,6.5%,1.5%,2.6%,8.0%,3.1%
