Polling firm,Fieldwork date,Sample,PP,DB,"GERB–
SDS",DPS,BSP,ITN,Revival,IS.BG,VMRO,BV,Others,None of the above,Lead
Polling firm,Fieldwork date,Sample,,,,,,,,,,,Others,None of the above,Lead
2022 election,2 October 2022,—,19.5,7.2,24.5,13.3,9.0,3.7,9.8,1.0,0.8,4.5,3.4,3.4,5.0
Gallup,Exit poll,—,18.8,7.4,24.7,14.5,10.8,4.6,10.2,1.2,0.9,4.0,2.9,—,5.9
Alpha Research,27–29 Sep 2022,"1,025",16.5,8.4,25.2,13.1,10.2,4.0,11.0,1.9,1.8,4.4,3.5,—,8.7
Trend,21–27 Sep 2022,"1,001",16.4,7.6,25.7,11.9,8.7,4.2,13.9,2.0,1.2,4.4,4.0,—,9.3
Gallup,20–27 Sep 2022,"1,009",16.6,7.8,25.8,13.2,9.2,4.2,12.8,1.9,1.2,4.0,3.3,—,9.2
Sova Harris,22–26 Sep 2022,"1,000",19.0,5.7,27.5,12.5,12.1,4.6,9.5,2.9,1.1,4.2,0.9,—,8.5
Exacta,20–25 Sep 2022,"1,050",16.8,8.0,26.4,12.6,10.8,4.5,10.5,—,—,4.2,5.6,0.6,9.6
Market Links,17–23 Sep 2022,"1,024",16.9,7.8,23.7,12.3,9.9,3.9,8.7,2.5,—,2.5,11.8,—,6.8
Mediana,16–22 Sep 2022,"1,008",16.3,5.9,26.3,11.5,13.1,4.7,12.0,3.0,—,5.2,2.0,—,10.0
SINPI,16–21 Sep 2022,"1,104",16.6,7.8,24.5,13.8,9.7,4.6,12.1,1.8,0.9,4.1,5.5,1.3,7.9
Center for Analysis and Marketing,15–19 Sep 2022,"1,011",18.2,8.1,24.8,12.8,11.2,3.8,10.5,—,—,3.3,—,—,6.6
Estat,10–17 Sep 2022,"1,005",16.8,6.9,26.1,10.3,9.3,4.2,10.1,1.9,1,4.8,5.2,3.4,9.3
Exacta,10–17 Sep 2022,"1,050",18.1,7.5,26.2,10.3,12.5,5.4,9.5,—,—,4,5.5,1,8.1
Sova Harris,6–12 Sep 2022,835,18.8,5.7,28.8,8.7,12.7,5.1,10.4,2.9,1.2,4.8,0.9,—,10.0
Gallup,2–10 Sep 2022,"1,002",19.2,7.6,25.9,11.5,9.8,4.3,11.3,1.7,1.5,4.2,3,—,6.7
Mediana,29 Aug – 4 Sep 2022,"1,008",17.1,5.5,22.8,11.1,13.3,6.9,12.5,3.4,—,5.5,1.9,—,5.7
Market Links,27 Aug – 3 Sep 2022,"1,067",17.8,8.1,22.9,10.9,10.9,3.8,7.6,—,—,4.7,13.5,—,5.1
Alpha Research,27 Aug – 2 Sep 2022,"1,117",18.9,8.1,25.3,11.8,10.6,4.2,10.3,2.2,—,4.5,4.1,—,6.4
Trend,15–22 Aug 2022,"1,007",19.6,7.3,24.4,10.6,8.6,3.9,10.3,1.9,1.2,4.5,4.6,3.1,4.8
